SNo.,Product,Price,Quantity Per Purchase,Stock
1,Soft drink,60,500ml,454
2,Fruit juice tetra pack,70,500ml,354
3,Flavoured milk,120,1 L,225
4,Sweet lassi,70,1 L,184
5,Buttermilk,60,1 L,173
6,Chocolate bar,100/1 bar,150g,397
7,Chocolate bytes,50,36g,500
8,Choco Pie,200,504g/1 box,121
9,Kinder Joy,40,20g/1 packet,175
10,Ferrero Rocher,529,200g/1 ball,560
11,Ice cream box,200,1 L/1 box,299
12,Cassatta,50,150 ml,249
13,Ice cream cup,59,100 ml/1 cup,570
14,Water Bottle,100,5 L,567
15,Green tea,225,(336g)15 bags,500
