SNo.,Product,Price,Quantity Per Purchase,Stock
1,POTATOES,50,1kg,986
2,CAPSICUM,30,1,130
3,GINGER,110,100g,152
4,GARLIC,105,100g,365
5,SWEET POTATO,8,250g,175
6,ONION,76,1kg,55
7,CAULIFLOWER,50,500g,89
8,TOMATO,80,500g,207
9,CABBAGE,80,500g,102
10,LADYFINGER,56,500g,20
11,PUMPKIN,52,750,198
12,BOTTLEGOURD,90,500g,56
13,CUCUMBER,92,200g,154
14,PEAS,148,250g,168
15,BEETROOT,84,200g,373
16,TURNIP,75,200g,120
17,RADDISH,76,200g,83
18,CARROT,67,200g,82
19,BROCOLLI,58,500g,161
20,KIWI,195,150g,160
21,APPLE,200,150g,89
22,ORANGE,141,150g,129
23,CHERRY,200,150g,63
24,PLUM,70,100g,37
25,PEACH,100,100g,71
26,GRAPES,33,50g,80
27,BLACKBERRIES,143,100g,75
28,BLUEBERRIES,367,150g,65
29,STRAWBERRIES,200,150g,50
30,WATERMELON,212,2kg,186
31,MUSKMELON,507,1kg,158
32,BANANA,45,500g,46
33,MANGO,45,250g,98
34,LITCHI,60,100g,70
