SNo.,Product,Price,Quantity Per Purchase,Stock
1,Split and skinned green gram,100,500 g ,200
2,Green gram,36,500 g,141
3,Black eyed beans,82,450 g ,152
4,Split red lentils,110,550 g,367
5,Indian Brown lentils,105,200 g,176
6,Yellow pigeon peas,8,400 g ,55
7,Kidney beans,76,350 g,89
8,Green peas,50,250 g,207
9,White peas,80,500 g,102
10,Split black gram,80,500 g,20
11,Black gram beans,56,150 g,198
12,Adzuki beans,52,450 g ,56
13,Turkish gram,90,150 g,154
14,Brown chickpeas,92,400 g ,148
15,Garbanzo beans,148,300 g,373
16,Black eyes peas,83,450 g ,200
17,Beaten rice,75,500 g,83
18,Sesame,76,1 kg,82
19,Plain rice,67,1.5 kg,158
20,Wheat,58,2 kg,160
21,Maize,195,1 kg,87
22,Millet,200,1.5 kg,129
23,Sorghum,141,2 kg,63
24,Brown sugar,200,500 g,37
25,White sugar,70,1 kg,71
26,Coconut oil ,100,1 l,80
27,Olive oil,33,1.5 l,75
